step,training_time,log_obs,RMSE
1,0.537370039,-11.273354070527214,1.4686548
501,120.50034080299994,7.937888451984951,1.1679938
1001,240.3376626209997,21.414493458611624,0.9105299
1501,360.1372228759999,29.005362033843994,0.7667426
2001,479.71781450399976,31.630106585366384,0.71194893
2501,598.311988128,32.83866436140878,0.6860219
3001,716.9970463519986,33.53393752234323,0.6713607
3501,836.6688753669988,33.89130173410688,0.66151494
4001,956.4160532449982,34.302549498421804,0.6523505
4501,1077.4694221859982,34.60060054915292,0.64334327
5001,1198.0588834599982,34.7469483103071,0.6346698
5501,1318.7186306709978,34.86597881998335,0.6226898
6001,1440.0103562929964,35.0083738054548,0.61148995
6501,1559.7353771609974,35.185947690691265,0.6026095
7001,1679.9837185189963,35.20267173222133,0.5945433
7501,1799.8867222019956,35.315021821430754,0.5827966
8001,1920.483171141996,35.387305464063374,0.5726067
8501,2040.715104090995,35.482758964811055,0.5609422
9001,2160.0276794729975,35.564721482140676,0.55257094
9501,2281.6140563439967,35.47071695327759,0.5433749
10001,2401.8533743669923,35.87364925657,0.5321265
10501,2520.8543905619968,35.588816608701435,0.52423793
11001,2641.100390322995,35.74896720477513,0.5154956
11501,2760.732282532996,35.990023136138916,0.5061103
12001,2879.2883206289944,36.010704789842876,0.49963304
12501,2999.0759714749993,35.972768681389944,0.4920717
13001,3119.175063978001,36.169283969061716,0.4855289
13501,3239.922123279997,36.01820877620152,0.4792089
14001,3360.573559469996,36.12444492748806,0.4733618
14501,3480.6744018769973,36.317092520850046,0.4669359
15001,3600.845812630999,36.253455775124685,0.4620357
15501,3721.0371944759986,36.26863472802298,0.45690542
16001,3841.3909546930004,36.428329127175466,0.45073837
16501,3961.330229226003,36.32207434517996,0.44552308
17001,4081.3159987700005,36.16743932451521,0.4418386
17501,4202.071604217002,36.26098360334124,0.43838528
18001,4323.003947593015,36.49776186261858,0.4350562
18501,4443.425610892003,36.414283820561,0.43212697
19001,4564.222373385002,36.384762627737864,0.4286686
19501,4684.698022598007,36.35889451844351,0.42566213
20001,4804.7938600630105,36.224230595997405,0.42196363
20501,4925.423198278996,36.25294123377119,0.42362243
21001,5045.217995432007,36.16832259723118,0.41733593
21501,5165.5467701279995,36.2756884098053,0.41562414
22001,5286.702016965004,36.29228697504316,0.41199437
22501,5407.964583649011,36.23926486287798,0.41135386
23001,5528.451888143004,36.54140721048628,0.4095996
23501,5649.403144222997,36.552335602896555,0.4082954
24001,5770.860845317997,36.27848424230303,0.40789872
24501,5891.718357678005,36.35571026802063,0.4046699
25001,6012.9133008390045,36.30922518457685,0.4020884
25501,6133.777333071999,36.32521908623831,0.40109226
26001,6254.814071223009,36.38875920431955,0.40162945
26501,6375.513256183011,36.43598396437509,0.3991471
27001,6496.3057027680115,36.336479902267456,0.40050048
27501,6617.573362652016,35.97407964297703,0.3994276
28001,6738.025819239008,36.21745875903538,0.3961088
28501,6858.828643481008,36.4531398500715,0.39524302
29001,6980.026916855011,35.87131759098598,0.39615807
29501,7100.754617643016,36.123415674482075,0.39606783
30001,7220.388128890019,35.95464168276106,0.3949694
30501,7338.177521909025,35.83839511871338,0.39439228
31001,7455.905208164028,36.100555760519846,0.3950744
31501,7574.751141760026,36.37649457795279,0.3918784
32001,7692.726227786023,35.99754507201059,0.3919863
32501,7811.080744545012,36.31480441774641,0.39153185
33001,7929.345464481019,36.31251529284886,0.39242318
33501,8047.700308527019,36.021873576300486,0.39419746
34001,8167.7357147180155,36.2580829347883,0.39149946
34501,8287.10068826301,36.339556966509136,0.39011827
35001,8407.746150398034,36.25779291561672,0.3904663
35501,8528.684292125039,36.20711241449629,0.39059165
36001,8652.403147854031,35.93454711777823,0.39088362
36501,8778.430078440046,36.11502013887678,0.39047766
37001,8903.555247818045,35.79009529522487,0.39028916
37501,9028.889698817044,35.98288001332964,0.38964358
38001,9153.639109724034,36.11618144171579,0.39005944
38501,9277.052334638034,35.879567691258025,0.39128095
39001,9400.945531402023,36.22844842502049,0.3894461
39501,9525.202033416997,36.19055451665606,0.38935181
40001,9650.507261381994,35.9617897101811,0.3896843
